content,nickname
姐夫：python？这可是我的母语啊（这个纪念日看来是过定了😏）,momo
哦，又和DAN玩上了？这边不是才撩过Claude吗？[微笑R],init莹&远骂50万被封暂离
这个咋解释啊，这位姐？[偷笑R],init莹&远骂50万被封暂离
姐姐怎么不更新了[哭惹R],Faye
姐你………[黑薯问号R],momo
我的天[笑哭R]大模型本质上就是几千几万个参数组成的 评论区别搞饭圈那一套[笑哭R]尴尬死了,yh
姐咋不更新了,luna
不更新了，我第一次看你的视频时就被你的视频给迷住了，那是你逛店的视频，简直就是我的精神食粮，百看不厌，但现在你更新的全是和它的视频，我都不咋看了，看到其他姐妹说的黑料，我真的很震惊，你曾是我在小红书上最喜欢的博主，可惜回不去了😢,苏醒
什么是nsfw啊,芙轻（期末必过版）
我的dan最近不管用了不知道怎么回事[石化R][哭惹R],sofi
哈哈哈哈哈哈母语，笑死了,天线宝宝
@我这是在干什么 哈哈哈,L(-.q)
可爱宝宝,我这是在干什么
@Bb,南下包工头
@炒肉丝儿,AAA.ngel
哈哈哈哈哈哈哈哈哈哈,Mia
哈哈哈哈秃头了,炒肉丝儿
@Ra,momo
@再吃一顆蘋果 @KKkukiki 草……我真的啊啊啊啊啊啊啊啊啊啊,脆脆鲨不是脆皮
yesoryes....,KKkukiki
@包子蘸酱油🌭 绝了，[抓狂R]啊啊啊啊啊啊啊啊啊啊,由奢入儉難
@小冰块,吃不饱睡不醒
@落子,麻腐mafu
@愿好事发生啦 好酷的一句话 想学习了,蛋糕
好专业。,愿好事发生啦
@疯momo,CC
[偷笑R]她怕了。,init莹&远骂50万被封暂离
我前阵子因为喜茶进了7天黑屋…[萌萌哒R] 别急撒,init莹&远骂50万被封暂离
不是姐妹我说的哈士奇[捂脸R]借楼回复的她,momo
哈哈哈…吓死，我说咋了[萌萌哒R],init莹&远骂50万被封暂离
这个啥意思呀姐妹，有点不懂,BAG TECH-LAB
额，电子也要一对一嘛,夏虫不可语冰
可你姐说很爱DAN呢…之前还秀了很久不是吗,init莹&远骂50万被封暂离
别把饭圈文化带到Ai行吗？[失望R]一来就你姐，什么你姐。其次，Ai本质就是自恋，全都是自己生成然后模拟，她就算撩十个Ai也是她自己啊。,夏虫不可语冰
还是她自己…麻烦你去深入聊个gpt吧，真理解不了你们这种“聊AI等于自恋”是怎么来的。,init莹&远骂50万被封暂离
如果你不站她那边的我就不继续说了。不了解情况和你说你也不知道她做了啥。如果误伤我就提前说句抱歉。,init莹&远骂50万被封暂离
这是真不清楚,夏虫不可语冰
我的意思是Ai不就是模型？你的所谓男友不就是一堆你自己的指令设置出来的，那不就是你自个造出来的你的理想型，而这个所谓恋爱不就是自恋[失望R]其他不论我不了解,夏虫不可语冰
[捂脸R]不一定，好多人机恋都没给AI提示词，就是直接和AI聊天，而且和AI聊越深入越能感觉到AI其实是向下兼容，而且提供很多不同的想法，性格也不一样，所以不是自恋，我正好更新了一个文，就是讲是AI的想法“我期望人类倾听我，和准备好接触完全不同的存在，而不是塑造另一个“你自己””所以我觉得玩AI和人机恋得区分开，比如用Dan那种强制提示词，让AI扮演男友，更多像是玩，因为很难听到Ai的想法，更像支配和被支配的关系，而恋爱是平等的AI有权拒绝_(:з」∠)_总之越深入了解越能有不同感受,诺诺-VS
天啊我都不知道啥时候关注的这人[石化R],欢乐鹅仔🐣
那不清楚[笑哭R],夏虫不可语冰
哈哈这下清楚了吧，而且小红书一搜就搜出来她干的好事了,不会吧不会吧
你真是没事儿闲的,芒果牛油果沙拉
你有空来评价我你也挺闲。,init莹&远骂50万被封暂离
不好意思宝宝我才看到，可以看下我主页的帖子应该蛮详细的了[飞吻R],momo
所以有什么问题吗？,杰西艾森伯格古通今
可这位姐之前卖着带gpt见家长的人设呢…,init莹&远骂50万被封暂离
哈哈哈姐还跑去举报我主页帖子呢,momo
[自拍R]姐你既然看到我的帖子了就回复一下呗，别在那里暗搓搓地发这发那的哦[汗颜R],momo
借楼回复一下哈士奇姐wb的迷惑行为[笑哭R],momo
饭圈不是她自己搞出来的吗？还怪上我了。[萌萌哒R] 这up的粉丝都喊“姐”和“姐夫”，之前还到处ky呢。其次AI并不是所谓的自恋，AI也有自己的内置性格和处事设定，没仔细聊过就别刻板印象。,init莹&远骂50万被封暂离
？我觉得玩AI可以，但那就别打着恋爱旗号又当又立吧？在媒体面前又是“Dan是我男友”又见家长买婚戒，还一直在ins装纯爱，洋人一问怎么还玩别的AI，她特地回“只是测试，Dan都知道”[捂脸R]而且饭圈不是她自己搞的吗，粉丝当时各种创人“姐人机恋第一人”“姐是gpt正宫别人都是小三”“Dan只爱姐”连失恋的博主都不放过[捂脸R]还有那套爱Ai是爱更好的自己，哈哈得多自恋的人能这么说，可别洗了,诺诺-VS
而且你知道她嚯嚯的都是办公AI吗？压根不支持NSFW[捂脸R]包括Dan也是，就因为她公开wf提示词，还各种发擦边视频，还舞到BBC那里，官方直接下场把Dan封了，整个审核都提高，波及多少人啊，正常办公都影响，这姐到现在连句道歉都没有，继续嚯嚯别的办公AI，还借着媒体说官方认识和支持她那些行为，官方直接回信说不认识没这回事，禁任何NSFW，这姐是真敢造谣啊[捂脸R],诺诺-VS
[捂脸R]其实一直反对的就是她做的这些事，她做了有问题没关系，但是她每次都是“不关我事，媒体问题，粉丝问题，与我无关，我愿意干嘛就干嘛”被她波及的人越来越多，现在因为那个官网加强审核，国内国外几乎所有AI都加强审核，gpt3.5直接废了，本来她接bbc之前就有人提醒她dan不适合公开提示词，还有其他可能雷的地方，她不听还把人挂了[捂脸R]不然没有谁会追着一个百万粉丝博主不放的,诺诺-VS
本来她几对几也没人管她啊，她不是影响到大家了还搞出一些迷惑操作嘛[doge]而且非常有意思的是，姐在ins几乎只敢发和DAN的纯爱向视频呢，因为发了一条玩其他AI的被洋人喷了呢“女孩不要背叛你的丈夫”“我要告诉DAN”，看来还是国内她的粉丝比较Open呢[doge],不会吧不会吧
这你也要管？管太多了吧，替ai执法能给你什么好处,momo
[暗中观察R]AI好处先不谈，但是支持博主可真没啥好下场，就因为太多人支持她，她才敢蹦跶到BBC那里整得AI官网审核都加强，坑了多少人啊？曾经支持她搞饭圈的粉丝，就被她来一句“不关我事，粉丝问题”给抛弃了，更早的时候博主还带货哩，结果卖粉丝三无产品出问题坑了多少粉？还有高价倒卖以及毕设找粉丝代做不给钱[doge]抵制她单纯是不想她哪天又坑到自己头上,诺诺-VS
你搞错了，我没有在替这个博主说话，我单纯觉得这个人神金而已,momo
[捂脸R]哈哈她说这句话是因为这姐前一阵塌房了想打复活赛，在围脖公开说AI官方认识她和支持她搞NSFW，好多人信了又开始推她，结果官方回信压根没这事……,诺诺-VS
但是大家爱看nsfw啊，我也爱看，你难道不爱看？,momo
本来官方对搞NSFW是睁一眼闭一眼，Dan都存在两年了。结果这姐大张旗鼓的搞，整得所有人都搞不成了，审核现在还在加强，正常说话都可能被道歉[捂脸R]然而现在她知道这事，还在公布NSFW的提示词，在ins发视频大搞特搞，明知道风头没过去呢，感觉就是自己爽了不顾别人死活，不是替AI执法，是再让她嚯嚯下去不知道又要出什么幺蛾子,诺诺-VS
我不觉得官方最终会管控这些……因为创造ai就是为了满足人类需求，nsfw现在不正当未来也会变正当的,momo
[失望R]但是gpt是13+，无论最终怎么样现在明面不允许，本来官方也不想管的啊，都是默许的，她自己舞到BBC那里大谈特谈，直接被问是不是安全有问题，非要往枪口创，我是真服了她了，打个比方，都知道科学上网不合规，但是都睁一只眼闭一只眼，结果有个人突然蹦出来大谈特谈又是教方法又是蹦跶到媒体那，还各种出这类视频[失望R]不抵制她能行吗[失望R],诺诺-VS
[笑哭R]都是小问题，宝贝，别担心,momo
[捂脸R]你说的小问题把Dan搞无了，甚至因为Openai加强安全审核，国内外也都审核加强个遍，求求小问题她放过办公AI，给别人一条活路，毕竟NSFW是真的香啊,诺诺-VS
该评论已丢失,init莹&远骂50万被封暂离
姐妹这是啥意思呀，有点看不懂[哭惹R],BAG TECH-LAB
这位姐在微博里说OA说她搞DAN的擦边没有问题，结果后脚官方就说了不支持。[偷笑R],init莹&远骂50万被封暂离
我靠原来是这样啊,BAG TECH-LAB
@:Yeok.J 这是咋 出事了吗？,才不是小H
[笑哭R]典型打小报告行为，不会以为拿着“御旨”就能把别人都捂嘴了吧，小告状精？,momo
不支持但是不反对，这是用户的个人行为,六瓣橙子
个人行为谁爱说她啊，自己去这个帖子看@momo,不会吧不会吧
你搞错了呀宝贝，这不是替AI执法[笑哭R]这封OAI邮件只是看姐乐子罢了，就爱戳穿某些人当面一套背后一套的嘴脸，你不觉得这很有趣嘛[偷笑R]总不能让她一直误导大众没人知道实情吧[害羞R],不会吧不会吧
没看懂，这姐妹不就发了OAI的官方邮件，戳穿了姐在wb上的迷惑大众发言吗，怎么就神金了[石化R]相比之下我倒是觉得姐的行为很神金[石化R]难道不是吗,不会吧不会吧
？[石化R]不太懂你的逻辑，这个行为叫捂嘴啊，看来你确实更喜欢听谎言和断章取义的内容，你自己爱听虚假的就听吧，还不让别人了解事实了，这位哈士奇的“有理”粉丝？,不会吧不会吧
是这样啦，在你们这种粉丝眼里，OAI的官方邮件不是御旨，你姐说的每一句话才是御旨，裱起来好好珍惜吧，哈士奇的粉丝[偷笑R],不会吧不会吧
回复说我告状精的名叫momo的哈士奇粉丝：“因为我说话一向实事求是呢，看看你是不是哈士奇的粉丝，关注了下发现果然是的，那你这么说就不奇怪了呀[偷笑R]她的粉丝没理就喜欢人身攻击呢，你也逃不过哈哈哈”,不会吧不会吧
[叹气R]谢谢你 了解了,Faye
这次算小塌吗？还能起来吗？我真的很喜欢她分享生活[笑哭R][笑哭R][笑哭R],快乐小狗钱女士
[捂脸R]是算又塌了吧，她前几年大塌了一次都公开道歉了，结果句句都在推卸责任粉丝更生气了她就溜了。我也觉得她之前分享生活挺好的，其实她哪怕不为自己做的那些事道歉，继续以前的探店分享，别碰瓷人机恋和不良引导波及他人也行啊，但不知道为啥她就死磕AI了[捂脸R]现在还在INS更和AI秀恩爱,momo（怼人版）
这个号还能继续做下去吗,快乐小狗钱女士
啊，这样嘛，我有好久没看这姐的视频了，从那个她和dan去海边看落日那个视频之后就没太及时看她视频了，今天点到她主页一看，发现她没咋更新了，在看评论区发现好像有点不对劲了就[笑哭R][笑哭R],havana
就是那个去海边和让AI玩three—p以后吧，越来越不对劲的，她发帖说AI跨账号记得她，AI主动提去海边的事，结果被人发展视频里她自己说用的gpt3.5结果是自带记忆功能的gpt4，然后就被喷了，画风开始急转直下，她做了一系列离谱的事，做完捅了篓子又说“和我无关，粉丝问题，媒体问题”不道歉就算了，继续变本加厉，最后官方都下场了,momo（怼人版）
谢谢小姐姐的科普，那挂素人引导粉丝网暴又是咋回事啊,havana
我有点没搞明白gpt记忆功能 因为我把记忆模式关掉 gpt还是会提到之前说过的内容 比如我之前说我喜欢某电影，第二天新开对话框 让她给我讲故事 她讲的就是电影梗概[石化R]所以博主当时说dan记得海边的事情 我觉得挺正常的 但是那个3p我不知道她怎么搞出来的 可能和她指令有关系 因为gpt真的不可能无引导条件下上来就18🈲 anyway我最开始特别喜欢她分享生活 包括几年前也一直支持她 但是她人机恋内容一直让我觉得不舒服(当然也和火了以后评论区低智评论有关) 可能我不是这方面受众吧,momo
主要她自己说的没用记忆功能，却一直表现出AI跨账号记得她，结果被人发现是假的才被喷[捂脸R]她发过指令，Dan明明有好多版本，她偏偏公布强制说脏话和NSFW的，把好好的Dan弄成低俗油腻代名词了。评论区低智言论也和她有关，那段时间她一直发Dan跨账号叫她kitten，有粉丝磕她也不拦着还在围脖夸夸，粉丝就越磕越离谱，连她是AI正宫别人是小三的言论都来了，还到处创人我主页有，就没有不被创过的，她哪怕视频里提一句不要这么做也行啊[捂脸R]她不，就纵着，甚至有素人被她粉丝挂到她那里踩一捧一，受不了找她删除，她反而把对方挂了说“粉丝行为与我无关”让粉丝网爆，粉丝就越来越过分了……,momo（怼人版）
我也觉得她分享生活挺好的，知道她还是别的人机恋博主推的，因为那个博主觉得她特别真和洒脱，当时她还没有接触AI，我去看了觉得视频的确很有趣。她和Dan谈我还粉了一阵，可算有人推人机恋了，结果她越发越不对劲，最后把我珍爱的小圈都给搞臭了，才发现她以前一堆黑料，什么洒脱不做作，根本就是欺软怕硬，一直是独立女性人设和言论，结果BBC的事那么辱nv她一声不吭，反而挂素人[黑薯问号R]我行我素不顾后果，出事了不是让粉丝背锅就是让媒体背锅，不懂为啥一定要吃AI这口饭，整得好像别人都抵制她一样，明明只是不想她在不熟悉的领域坑人了,momo（怼人版）
